id,name,text
5f993ca6ab24ecb07efc5259,Petro,"Me gustaría que esta columna fuera deliberada en los puntos de resistencia, que los nodos de la Colombia.Humana se abrieran a la juventud y llegaran al campo popular presencialmente a organizar la gran multitud humana.
 "
f8734ee208059bc34690fbe8,Lopez,¡Si Bogotá y Cundinamarca salen adelante Colombia sale adelante! Trabajando juntos y reconociéndonos como iguales cundinamarqueses y bogotanos vamos lograr que nuestros campesinos tengan una vida digna. De eso se trata construir paz y así lo haremos en Bogotá-Región. 
cfd3678247b29ea7ba1fbe3c,Lopez,Esto significa el proyecto de acuerdo de rescate social y económico que estamos tramitando ante el Concejo de Bogotá: 
e13d9e299ac5ffd38f503c5a,Lopez,"¡Avanza nuestro recorrido por San Cristóbal! 

Llegamos al Colegio Santa Teresita que estará listo en diciembre de este año.✅🏫

Beneficiará a 1.040 estudiantes de la localidad y contará con 30 aulas: 8 de preescolar, 10 de básica primaria, 8 de básica secundaria y 4 de media. "
fc457807261de42e57f5c1c5,Petro,"Miles de personas en Bucaramanga en estos momentos siguen en las calles. El #ParoNacional no termina. 

Rechazan los asesinatos y las masacres. Que el mundo se entere que Colombia se cansó de 200 años de gobiernos de los mismos de siempre.

#ParoNacional3M "
c43a5b9ee4b2909d5602f2be,Petro,Este es el porcentaje de trabajadores que trabajan más de 60 horas a la semana respecto del total de su fuerza laboral en el mundo. Mide parcialmente grados de explotación laboral o autoexplotación. 
6d1aa4f4c35db09b737d5a6e,Uribe,"Acelerar la superación de la pobreza para hablarle duro al Socialismo

"
65a3186c4f1d3d6825a32f6c,Petro,De nuevo le pido a los alcaldes tener mapas de riesgo climático y establecer los comités de crisis climática en cada municipio con amplia participación popular.
225918c8723ff46df2e90453,Petro,"Este es el fascismo que asciende en el mundo impulsado por el éxodo que de todo el mundo parte hacia los países ricos.

Así nos tratan.

La.democracia es un objetivo hoy de los pueblos excluidos del mundo. "
33e4bfcd08f6226223b25975,Lopez,"Estos son los 10 principales puntos de movilizaciones para mañana 20 de julio.

Para programar tus desplazamientos y conocer eventuales rutas alternas que estaremos habilitando, podrás consultar @SectorMovilidad y @transmilenio.

La ciclovia funcionará con normalidad. "
a718c7c5968255d825531f77,Lopez,"Bogotá instalará 30 puestos de control para verificar y registrar motos por toda la ciudad con controles mixtos entre @PoliciaBogota y el Ejército.

Habrá equipos especializados de reacción en 19 localidades para coordinar con la ciudadanía y sus Frentes Locales de seguridad. "
a79b1d02203f8fc835ec11e4,Uribe,"Falleció en Cartagena la dra Ivette Chejuan, ejemplar veterinaria y empresaria del agro. Solidaridad querida familia"
7d73b8a627a1709776de30c0,Lopez,@UltimaHoraCR @nicolasgarciab @TransMilenio @camivar08g Transmilenio no se extenderá. Estamos estudiando la posibilidad de que buses eléctricos y rutas de @LaRolitaBog integren servicios Inter municipales hasta Cota en la calle 80 y hasta Mosquera en la calle 13. Ese estudio lo hará la nueva Agencia regional de la #RegionMetropolitana
51321288a71653eab6c38363,Petro,"En Paipa, se instalaba el comité del Pacto Histórico del departamento de Boyacá. "
9d7b7a08b2924cb39b423094,Lopez,"Concejo de Bogotá negó contundentemente la moción infundada y oportunista a nuestro Secretario de Salud @AlejandroGL2014.

Gracias Alejandro por tu dedicación para cuidar a Bogotá, al personal de salud y al sistema hospitalario para que salgamos adelante de esta pandemia mortal. "
d1088d01cf8201bc4ffa1f53,Uribe,"Comunidad informa;
“Prácticamente secuestrados los profesores en la escuela de Morelia Concordia, Antioquia. Vehículos quemados . Tiros al aire”"
d7b6a243509b16e0310d31bd,Uribe,"La tributaria generó protesta;

El vándalo-terrorismo es diferente, hoy bloqueos en Buga, Mosquera, Oriente de Antioquia, Cartagena.

Y los responsables en la política"
554f8a53722b3ebf5c3c896f,Uribe,"#BuenasNoticias 

Hoy en ‘El Control’ de María Andrea Nieto fui invitado a participar como autor de la Ley de Vacunas, en el especial sobre el primer millón de vacunados en Colombia contra el COVID-19 "
120acc8bc878e35e9a6ccb53,Uribe,"Falleció el dr Mariano García en Montería, nos apoyó con entusiasmo. Solidaridad querida familia"
dad03878798bbd526fefbdde,Uribe,"A mí me parece que la cultura como expresión que crea los mínimos lazos de unidad para que exista nación, hay que respetarla mucho. Yo nunca he aprovechado la amistad que he podido tener con integrantes de la cultura colombiana para hacer un uso abusivo en procura de mi política. "
4d412bf661701fce259f1727,Uribe,"Eduardo Escobar cita este refrán: 

“Un refrán africano reza que la mentira florece pero no fructifica”"
188c139c1f0b4f3acd687c55,Uribe,"Y Salud Coop, y Caprecom, y la ESAP, y Café Salud, y el hallazgo del dinero en un apartamento! "
f80b909751ac12a9fb17fe4b,Lopez,Alias frozen tenía +10 anotaciones por hurto (capturado en flagrancia pero por bajo monto le dan libertad automática). Luego le dieron detención domiciliaria que obviamente usó para seguir robando. Finalmente le dieron cárcel! Meses de desgaste para que la justicia haga lo obvio! 
f72af0d308ee4dad2c5a0c9e,Lopez,"Quiero terminar el día agradeciendo a la Misión de Educadores por su sabiduría guiando el diseño de la política educativa de Bogotá a 2038. Garantizar educación pertinente para la vida a niños, niñas y jóvenes es nuestra prioridad y para eso es el #PactoPorLaEducación. "
048fbf0d6901b8bef921a85d,Lopez,"Gracias a todos por querer y defender a Bogotá.

Salimos adelante cuando en vez de saboteo y amenazas, construimos sobre lo construido, mejorando sin dañar, cambiando sin destruir.

Somos el corazón ciudadano, económico y solidario de Colombia. Bogotá Región se respeta!
#MetroYa "
b3b3607a4c1c30af4c0ee87d,Petro,"Queda cuestionada tambien la doctrina de entrenamiento de la fuerza élite del ejercito, la escuela de lanceros, tal como lo denuncié en mi debate del senado.

La doctrina de preparación de los militares debe afincarse en los valores democráticos para todos sus integrantes"
8036e9559bc8a1081ba8ce98,Lopez,"Con el equipo especializado de rescate de @BomberosBogota, @COL_EJERCITO, @PoliciaColombia y @DefensaCivilCo y la valiosa ayuda de la comunidad, realizamos labores de búsqueda y rescate en Arboretto. Nuestra prioridad es encontrar a la persona desaparecida en este sector. "
